SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20MICRONS.NS,20 Microns Limited,EQ,6-Oct-08,5,1,INE144J01027,5
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,BE,3-May-95,10,1,INE253B01015,10
360ONE,360ONE.NS,360 ONE WAM LIMITED,EQ,19-Sep-19,1,1,INE466L01038,1
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,EQ,22-Oct-21,10,1,INE748C01038,10
3MINDIA,3MINDIA.NS,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10
3PLAND,3PLAND.NS,3P Land Holdings Limited,BE,19-Jul-95,2,1,INE105C01023,2
5PAISA,5PAISA.NS,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10
63MOONS,63MOONS.NS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,BE,23-Dec-10,10,1,INE619I01012,10
AAATECH,AAATECH.NS,AAA Technologies Limited,EQ,28-Nov-22,10,1,INE0D0U01013,10
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,EQ,15-May-24,10,1,INE883F01010,10
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,BE,29-Sep-20,1,1,INE087Z01024,1
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,BE,6-Aug-21,10,1,INE198H01019,10
AARON,AARON.NS,Aaron Industries Limited,EQ,6-Nov-20,10,1,INE721Z01010,10
AARTECH,AARTECH.NS,Aartech Solonics Limited,EQ,10-Jul-23,5,1,INE01C001026,5
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10
AARTIIND,AARTIIND.NS,Aarti Industries Limited,EQ,8-Feb-95,5,1,INE769A01020,5
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,1,INE0LRU01027,5
AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,EQ,14-Jul-20,10,1,INE09EO01013,10
AARVEEDEN,AARVEEDEN.NS,Aarvee Denims & Exports Limited,BE,21-Nov-06,10,1,INE273D01019,10
AARVI,AARVI.NS,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10
AAVAS,AAVAS.NS,Aavas Financiers Limited,EQ,8-Oct-18,10,1,INE216P01012,10
ABAN,ABAN.NS,Aban Offshore Limited,EQ,29-Mar-95,2,1,INE421A01028,2
ABB,ABB.NS,ABB India Limited,EQ,8-Feb-95,2,1,INE117A01022,2
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,EQ,8-Jan-10,10,1,INE358A01014,10
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,1-Sep-17,10,1,INE674K01013,10
ABDL,ABDL.NS,Allied Blenders and Distillers Limited,EQ,2-Jul-24,2,1,INE552Z01027,2
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,1,INE647O01011,10
ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,BE,9-Sep-21,10,1,INE251C01025,10
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,1,INE404A01024,5
ACC,ACC.NS,ACC Limited,EQ,20-Nov-96,10,1,INE012A01025,10
ACCELYA,ACCELYA.NS,Accelya Solutions India Limited,EQ,1-Dec-99,10,1,INE793A01012,10
ACCURACY,ACCURACY.NS,Accuracy Shipping Limited,BE,11-Dec-20,1,1,INE648Z01023,1
ACE,ACE.NS,Action Construction Equipment Limited,EQ,26-Sep-06,2,1,INE731H01025,2
ACEINTEG,ACEINTEG.NS,Ace Integrated Solutions Limited,EQ,4-Nov-22,10,1,INE543V01017,10
ACI,ACI.NS,Archean Chemical Industries Limited,EQ,21-Nov-22,2,1,INE128X01021,2
ACL,ACL.NS,Andhra Cements Limited,EQ,10-May-23,10,1,INE666E01020,10
ACLGATI,ACLGATI.NS,Allcargo Gati Limited,EQ,10-Oct-06,2,1,INE152B01027,2
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,EQ,31-Jul-15,10,1,INE931S01010,10
ADANIENT,ADANIENT.NS,Adani Enterprises Limited,EQ,4-Jun-97,1,1,INE423A01024,1
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,EQ,18-Jun-18,10,1,INE364U01010,10
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,EQ,20-Aug-09,10,1,INE814H01011,10
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,EQ,15-Sep-10,2,1,INE982B01027,2
ADL,ADL.NS,Archidply Decor Limited,BE,1-Oct-20,10,1,INE0CHO01012,10
ADORWELD,ADORWELD.NS,Ador Welding Limited,EQ,10-May-95,10,1,INE045A01017,10
ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited,EQ,13-Aug-97,10,1,INE737B01033,10
ADSL,ADSL.NS,Allied Digital Services Limited,EQ,25-Jul-07,5,1,INE102I01027,5
ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,2,1,INE199C01026,2
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,2,1,INE837H01020,2
AEGISLOG,AEGISLOG.NS,Aegis Logistics Limited,EQ,3-Apr-96,1,1,INE208C01025,1
AEROFLEX,AEROFLEX.NS,Aeroflex Industries Limited,EQ,31-Aug-23,2,1,INE024001021,2
AETHER,AETHER.NS,Aether Industries Limited,EQ,3-Jun-22,10,1,INE0BWX01014,10
AFFLE,AFFLE.NS,Affle (India) Limited,EQ,8-Aug-19,2,1,INE00WC01027,2
AFIL,AFIL.NS,Akme Fintrade (India) Limited,EQ,26-Jun-24,10,1,INE916Y01019,10
AGARIND,AGARIND.NS,Agarwal Industrial Corporation Limited,EQ,26-May-14,10,1,INE204E01012,10
AGI,AGI.NS,AGI Greenpac Limited,EQ,31-May-00,2,1,INE415A01038,2
AGIIL,AGIIL.NS,Agi Infra Limited,EQ,15-Jul-24,10,1,INE976R01017,10
AGRITECH,AGRITECH.NS,Agri-Tech (India) Limited,EQ,28-Jan-14,10,1,INE449G01018,10
AGROPHOS,AGROPHOS.NS,Agro Phos India Limited,EQ,8-Mar-19,10,1,INE740V01019,10
AGSTRA,AGSTRA.NS,AGS Transact Technologies Limited,EQ,31-Jan-22,10,1,INE583L01014,10
AHL,AHL.NS,Abans Holdings Limited,EQ,23-Dec-22,2,1,INE00ZE01026,2
AHLADA,AHLADA.NS,Ahlada Engineers Limited,EQ,28-Jan-21,10,1,INE00PV01013,10
AHLEAST,AHLEAST.NS,Asian Hotels (East) Limited,EQ,11-Aug-10,10,1,INE926K01017,10
AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2,1,INE758C01029,2
AIAENG,AIAENG.NS,AIA Engineering Limited,EQ,14-Dec-05,2,1,INE212H01026,2
AIIL,AIIL.NS,Authum Investment & Infrastructure Limited,EQ,23-Apr-24,1,1,INE206F01022,1
AIRAN,AIRAN.NS,Airan Limited,BE,3-May-19,2,1,INE645W01026,2
AIROLAM,AIROLAM.NS,Airo Lam limited,EQ,13-Oct-21,10,1,INE801L01010,10
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,EQ,29-May-00,2,1,INE031B01049,2
AJMERA,AJMERA.NS,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,10,1,INE298G01027,10
AJOONI,AJOONI.NS,Ajooni Biotech Limited,BE,7-May-21,2,1,INE820Y01021,2
AKASH,AKASH.NS,Akash Infra-Projects Limited,EQ,11-Oct-19,10,1,INE737W01013,10
AKG,AKG.NS,Akg Exim Limited,EQ,16-Feb-21,10,1,INE00Y801016,10
AKI,AKI.NS,AKI India Limited,EQ,6-Apr-23,2,1,INE642Z01026,2
AKSH-RE,AKSH-RE.NS,Akshar Spintex Ltd-RE,BE,9-Sep-24,1,1,INE256Z20017,1
